time,command_line,symmetry,alchemy,core/structure.py,core/periodic_table.py,io/vasp,transformations,analysis,optimization,electronic_structure,phonon,vis,entries
2011-10,1,0,0,1,1,0,1,2,0,0,0,0,0
2011-11,1,0,0,12,13,0,7,3,0,0,0,9,0
2011-12,1,0,0,2,1,0,3,10,0,0,0,0,0
2012-01,4,0,0,21,7,0,11,8,0,0,0,13,0
2012-02,3,0,0,3,1,0,4,14,0,0,0,0,0
2012-03,19,15,36,14,8,0,33,18,0,38,0,1,6
2012-04,2,8,24,20,10,0,22,3,0,33,0,0,6
2012-05,3,2,7,6,3,0,6,3,0,24,0,1,5
2012-06,0,1,0,4,0,0,2,12,0,4,0,1,6
2012-07,22,14,9,20,5,0,26,24,0,18,0,4,11
2012-08,2,5,2,6,3,0,5,7,0,1,0,0,5
2012-09,5,1,6,1,1,0,6,0,0,7,0,0,0
2012-10,0,3,7,0,1,0,0,10,0,2,0,0,1
2012-11,5,1,3,33,6,0,4,30,0,8,0,1,8
2012-12,3,2,1,3,4,0,10,52,0,9,0,0,7
2013-01,0,0,4,6,2,0,19,35,6,0,0,0,0
2013-02,3,4,8,9,8,0,5,14,2,3,0,2,5
2013-03,3,22,3,2,3,0,2,21,0,0,0,0,2
2013-04,7,8,1,9,3,0,1,24,2,3,0,1,0
2013-05,5,14,7,31,6,0,9,39,0,4,0,0,3
2013-06,3,0,9,5,1,0,4,19,0,0,0,0,0
2013-07,3,4,0,3,0,0,1,12,0,4,0,11,6
2013-08,13,5,3,12,9,0,1,38,0,19,0,1,1
2013-09,0,2,0,3,3,0,0,10,0,3,0,2,25
2013-10,1,0,1,2,0,0,0,7,0,1,0,0,0
2013-11,0,1,0,1,0,0,16,9,0,1,0,0,3
2013-12,10,0,0,1,0,0,1,4,0,1,0,0,6
2014-01,4,5,7,7,6,0,5,25,1,7,0,0,3
2014-02,4,2,1,9,1,0,2,61,0,2,0,1,3
2014-03,13,0,0,10,0,0,1,36,2,1,0,0,0
2014-04,1,2,0,0,0,0,0,8,1,1,0,0,0
2014-05,1,6,0,2,0,0,0,33,0,2,0,0,2
2014-06,4,0,0,0,0,0,3,20,0,1,0,0,1
2014-07,0,0,1,4,1,0,22,20,0,2,0,2,7
2014-08,1,1,2,1,3,0,2,23,1,8,0,3,2
2014-09,14,23,16,29,14,0,14,69,8,15,0,9,12
2014-10,1,6,1,13,6,0,2,31,0,5,0,0,1
2014-11,0,2,0,6,0,0,1,8,2,4,0,0,0
2014-12,1,0,0,6,0,0,3,3,0,0,0,0,0
2015-01,2,1,0,3,0,0,0,0,0,2,0,1,17
2015-02,0,0,1,4,1,0,0,0,0,0,0,0,0
2015-03,0,0,0,2,0,0,0,7,0,1,0,0,1
2015-04,0,1,0,4,1,0,0,8,8,2,0,0,0
2015-05,0,0,0,0,0,0,0,2,0,0,0,0,0
2015-06,0,5,2,0,0,0,0,15,0,0,0,0,0
2015-07,0,1,0,0,1,0,0,8,1,0,0,0,1
2015-08,3,9,5,6,1,23,4,8,2,12,0,2,8
2015-09,0,0,0,1,0,3,0,4,0,0,0,0,0
2015-10,0,0,2,3,1,19,2,4,0,7,0,0,1
2015-11,1,9,2,3,2,8,0,13,1,3,0,0,0
2015-12,0,1,0,5,3,8,2,22,0,2,0,0,5
2016-01,0,0,0,7,9,37,2,17,0,8,0,0,0
2016-02,0,2,0,9,0,1,0,10,0,1,0,0,0
2016-03,1,2,0,0,0,8,0,22,3,6,0,0,0
2016-04,3,10,1,12,7,55,3,81,1,9,0,3,2
2016-05,1,16,0,5,1,78,8,26,0,79,0,3,0
2016-06,0,3,2,6,1,21,0,29,0,3,0,0,3
2016-07,1,0,0,3,0,3,0,69,7,0,0,0,1
2016-08,1,11,1,3,1,6,17,14,0,3,0,0,0
2016-09,2,8,3,9,0,20,1,39,0,19,0,0,0
2016-10,0,1,0,7,1,10,2,9,1,4,0,6,0
2016-11,0,2,0,4,3,5,1,23,0,2,1,0,1
2016-12,4,0,2,2,1,20,2,21,0,17,0,0,1
2017-01,0,3,0,2,0,6,4,20,0,10,2,1,0
2017-02,1,5,1,3,1,6,1,91,1,30,2,1,2
2017-03,0,8,0,0,0,10,2,60,0,8,0,0,0
2017-04,6,3,3,1,0,19,4,26,0,15,2,1,0
2017-05,0,10,0,3,0,25,0,34,0,7,0,0,0
2017-06,1,3,2,4,2,27,0,11,0,5,0,0,0
2017-07,9,2,0,8,4,21,1,34,0,24,0,0,3
2017-08,13,21,1,2,4,25,4,50,0,10,1,2,1
2017-09,3,3,5,1,2,10,3,17,0,2,1,1,6
2017-10,3,0,0,2,2,3,1,11,0,2,0,0,1
2017-11,5,2,0,6,0,2,9,6,0,4,0,0,2
2017-12,3,4,1,5,4,15,1,50,0,17,1,0,2
2018-01,2,0,0,3,4,6,2,47,0,1,2,0,0
2018-02,0,0,0,0,6,15,1,42,0,2,0,0,0
2018-03,2,0,0,2,0,11,2,65,0,0,1,0,0
2018-04,0,1,0,1,5,5,2,104,0,16,1,0,0
2018-05,3,1,0,1,0,8,9,100,0,6,0,1,0
2018-06,0,0,0,5,0,25,4,117,0,2,0,0,2
2018-07,1,2,0,0,1,8,3,84,1,4,0,1,0
2018-08,3,0,0,9,1,1,0,93,0,25,0,0,0
2018-09,2,0,0,3,0,6,7,62,0,14,0,0,0
2018-10,2,1,0,2,0,6,0,24,0,2,0,0,0
2018-11,3,1,1,2,2,13,11,38,1,3,8,1,0
2018-12,4,3,7,4,3,8,7,27,2,7,1,1,6
2019-01,0,1,0,0,0,7,0,51,0,8,0,0,3
2019-02,0,1,0,7,2,4,1,27,0,4,0,0,8
2019-03,3,5,2,18,1,23,3,37,0,2,0,2,1
2019-04,3,2,2,4,1,14,0,35,0,9,1,1,1
2019-05,1,2,0,6,0,15,0,15,0,11,0,0,0
2019-06,5,2,0,19,0,9,3,61,0,0,0,0,0
2019-07,11,0,1,7,1,4,15,28,0,0,0,0,0
2019-08,8,6,1,4,1,15,13,45,1,12,2,2,17
2019-09,9,9,3,19,5,24,10,60,2,10,7,0,29
2019-10,6,3,2,16,0,20,1,33,3,3,3,1,42
2019-11,6,3,0,1,0,23,1,32,0,5,1,0,17
2019-12,0,11,0,2,0,31,0,32,0,2,1,0,5
2020-01,0,1,0,2,1,21,0,41,0,4,0,2,1
2020-02,6,0,0,0,0,24,7,25,1,0,7,1,5
2020-03,21,16,3,0,2,7,2,40,1,1,1,2,18
2020-04,18,5,0,0,2,5,12,27,1,2,1,0,62
2020-05,0,1,0,3,2,5,0,5,0,0,1,0,8
2020-06,0,0,0,1,0,23,0,14,0,20,4,0,9
2020-07,8,6,2,5,1,5,1,42,1,12,0,1,24
2020-08,2,2,0,0,5,13,1,20,0,0,0,0,32
2020-09,3,0,1,2,3,8,1,32,0,9,0,1,11
2020-10,1,0,0,0,0,10,0,19,1,4,0,0,6
2020-11,0,0,0,0,0,14,0,8,0,0,2,0,0
2020-12,3,5,2,3,3,9,3,25,2,3,3,2,14
2021-01,12,14,4,5,2,12,9,41,3,11,7,6,21
2021-02,9,4,0,7,9,13,2,57,0,9,0,0,10
2021-03,3,3,3,3,8,3,2,14,0,2,0,1,8
2021-04,4,2,1,0,1,4,3,21,0,6,0,0,12
2021-05,2,6,0,0,0,1,2,33,0,2,1,0,8
2021-06,0,0,0,1,0,18,1,16,0,0,8,0,18
2021-07,2,1,0,2,0,1,1,21,0,3,22,1,2
2021-08,3,0,2,1,1,1,2,19,1,10,0,0,4
2021-09,0,1,0,8,2,3,0,15,0,1,0,0,2
2021-10,3,5,1,5,3,12,2,23,5,3,1,2,37
2021-11,3,1,1,3,2,38,2,6,1,4,1,1,3
2021-12,3,0,0,0,1,19,2,0,0,6,1,0,5
2022-01,32,7,3,12,10,40,8,34,2,9,6,2,13
2022-02,8,9,5,20,1,31,7,33,2,9,5,4,7
2022-03,2,13,1,23,6,8,5,36,0,47,2,2,10
2022-04,1,3,1,9,2,12,2,10,1,5,1,0,2
2022-05,0,9,0,2,0,8,0,3,0,0,0,0,0
2022-06,4,8,0,2,2,11,3,16,0,5,5,2,1
2022-07,3,17,1,7,1,13,5,16,0,4,4,0,2
2022-08,2,7,2,11,3,14,9,33,0,7,12,3,4
2022-09,1,3,0,3,1,21,2,15,2,3,13,0,9
2022-10,4,13,3,6,2,24,6,35,2,6,23,3,15
2022-11,2,5,1,5,0,6,7,9,2,3,1,0,8
2022-12,0,0,0,0,0,13,0,6,2,2,0,0,0
2023-01,4,9,5,6,0,17,5,21,2,13,4,2,5
2023-02,5,4,5,5,2,6,4,10,1,5,5,4,5
2023-03,4,7,3,7,4,10,4,17,2,5,3,1,5
2023-04,1,2,1,3,1,4,0,9,0,0,0,0,3
2023-05,10,12,4,12,5,19,11,22,20,17,8,0,10
2023-06,11,21,11,28,14,28,26,40,5,20,10,4,14
2023-07,11,9,5,13,7,18,15,27,0,12,4,3,13
2023-08,9,12,7,21,7,44,17,36,2,18,10,7,11
2023-09,4,7,5,9,10,30,4,17,0,8,4,3,4
2023-10,6,13,3,10,4,21,6,21,0,13,7,3,3
2023-11,9,6,3,7,2,14,3,23,0,8,4,2,4
2023-12,1,2,0,4,2,3,0,5,0,6,13,1,0
2024-01,6,5,5,13,3,13,6,20,0,7,5,1,4
2024-02,2,6,3,6,2,13,3,13,0,7,1,2,3
2024-03,12,11,7,10,7,16,11,25,0,11,6,3,9
2024-04,9,9,5,10,5,18,7,19,2,14,9,6,6
2024-05,8,7,5,9,9,12,5,13,0,11,9,3,6
2024-06,1,6,1,5,1,7,1,8,1,1,4,1,2
2024-07,0,2,0,1,2,3,1,6,0,1,1,0,0
2024-08,8,12,8,10,11,29,13,22,3,17,11,6,11
2024-09,3,2,1,3,0,11,2,10,0,3,3,2,0
2024-10,1,3,1,3,2,25,1,3,1,4,1,2,1
2024-11,1,5,1,1,2,7,4,8,0,1,1,1,0
2024-12,1,3,1,4,2,6,4,2,0,1,0,0,1
2025-01,4,2,1,6,3,8,4,5,0,5,2,2,4
2025-02,1,0,0,1,1,5,1,4,0,2,0,0,0
2025-03,1,3,0,5,2,3,0,6,0,1,0,0,1
2025-04,6,6,1,26,5,6,4,5,0,5,2,1,4
2025-05,0,1,1,6,3,12,1,3,0,4,3,0,4
2025-06,0,0,0,0,0,5,0,1,0,2,1,0,0
2025-07,2,2,1,2,2,2,2,2,0,2,2,0,1
2025-08,1,0,0,1,0,2,1,3,0,2,1,0,0
2025-09,0,1,0,2,0,3,0,1,2,1,1,1,0
2025-10,2,1,1,0,2,6,0,6,0,2,0,0,1
2025-11,0,0,0,1,0,5,0,6,0,0,0,0,2
